Close,Date,High,Low,Market_cap,Name,Open,Ticker,Volume
1.00010151,2020-12-08T23:59:59.999Z,1.00086483,0.99972115,3057541919.982277,USD Coin,1.00000797,USDC,624652067.0849477
1.00078874,2020-12-09T23:59:59.999Z,1.00894295,0.999902,3083762658.2595716,USD Coin,1.00010151,USDC,661526814.7140886
1.00004617,2020-12-10T23:59:59.999Z,1.00090843,0.99992021,3081890246.8845024,USD Coin,1.00075173,USDC,386067663.54419917
0.99999298,2020-12-11T23:59:59.999Z,1.00136617,0.99787194,3136265939.117368,USD Coin,1.00004618,USDC,575419053.1205796
1.00000147,2020-12-12T23:59:59.999Z,1.00061331,0.99433412,3215393827.283072,USD Coin,0.99999282,USDC,372750750.63770276
0.99988768,2020-12-13T23:59:59.999Z,1.00051779,0.99959036,3241732105.9813943,USD Coin,1.00000148,USDC,544392772.7005156
0.08115832,2020-11-14T23:59:59.999Z,0.08405789,0.08103178,1699202324.9575973,Stellar,0.08231771,XLM,171038960.79571727
0.08029435,2020-11-15T23:59:59.999Z,0.08218422,0.07922862,1681113432.301901,Stellar,0.08115831,XLM,130851375.55926432
0.08189586,2020-11-16T23:59:59.999Z,0.0823032,0.07958779,1714848830.649613,Stellar,0.08029432,XLM,144088170.9057123
0.0860754,2020-11-17T23:59:59.999Z,0.08781136,0.08346089,1805034192.0303652,Stellar,0.0839621,XLM,234814749.8130417
0.08361524,2020-11-18T23:59:59.999Z,0.08652573,0.08195969,1753443661.5323813,Stellar,0.08607187,XLM,200409055.55151212
0.08390624,2020-11-19T23:59:59.999Z,0.08565666,0.08163132,1759755825.8116484,Stellar,0.08361596,XLM,159838550.48568138
0.08830738,2020-11-20T23:59:59.999Z,0.08831017,0.0837751,1854198705.824215,Stellar,0.08390812,XLM,177052671.6273809
0.10840489,2020-11-21T23:59:59.999Z,0.10893011,0.08830738,2278902756.309647,Stellar,0.08830738,XLM,646627498.1975975
0.10352625,2020-11-22T23:59:59.999Z,0.11391912,0.09750213,2176343295.364973,Stellar,0.10840489,XLM,689900728.1293249
0.13059927,2020-11-23T23:59:59.999Z,0.13109979,0.10174306,2747435106.9030113,Stellar,0.10352638,XLM,881252331.2292757
0.19547983,2020-11-24T23:59:59.999Z,0.19650004,0.13065125,4126025114.762524,Stellar,0.13065125,XLM,3759466315.191269
0.19520212,2020-11-25T23:59:59.999Z,0.22977977,0.18356162,4124457772.5983386,Stellar,0.1950576,XLM,3400050500.7023625
0.16754814,2020-11-26T23:59:59.999Z,0.20413388,0.1479461,3540152241.2905765,Stellar,0.19496164,XLM,2426960774.8487306
0.20640935,2020-11-27T23:59:59.999Z,0.20640935,0.16388012,4471341970.8745575,Stellar,0.167805,XLM,2262645472.4424605
0.20020316,2020-11-28T23:59:59.999Z,0.21905738,0.19640617,4336900386.151355,Stellar,0.20666006,XLM,2016734577.6674852
0.19422412,2020-11-29T23:59:59.999Z,0.20233809,0.18970784,4207379426.2790494,Stellar,0.20029839,XLM,987586583.252378
0.20209288,2020-11-30T23:59:59.999Z,0.20453216,0.18964508,4383702574.296802,Stellar,0.19419495,XLM,1061790831.186391
